time,open,high,low,close,Volume,BB 상단,BB 중단,BB 하단,MA90,MA120,EMA13,EMA28
1722605400,219.15,225.6,217.67,224.64,5698567,273.87037865052525,191.16204166666714,108.453704682809,214.6623333333334,207.97591666666645,220.65176758310318,221.49111649303913
1722619800,224.61,225,219.07,219.83,2804937,274.32475199667175,191.28854166666713,108.25233133666252,214.97377777777788,208.2864999999998,220.53437221408845,221.37655673489851
1722864600,199.09,213.5,196,210.83,6879354,274.56634134821195,191.3802083333338,108.19407531845563,215.20144444444458,208.52383333333313,219.14803332636154,220.6492079945607
1722879000,210.79,211.89,203.91,209.29,4150159,274.77819605742,191.46904166666712,108.15988727591424,215.3926666666668,208.74866666666645,217.73974285116702,219.8658143397634
1722951000,205.3,209.99,201.08,208.95,4718900,274.98294477018004,191.55975000000046,108.1365552298209,215.58844444444455,208.96716666666646,216.4840653010003,219.11299955771076
1722965400,208.99,209.945,206.4,207.125,2017314,275.1541910100132,191.6507291666671,108.14726732332097,215.7725000000001,209.15670833333314,215.14705597228598,218.2862409675238
1723037400,206.91,213.64,206.4,211.05,3240522,275.3940941146084,191.75918750000045,108.12428088539251,215.97994444444456,209.3767916666665,214.56176226195942,217.78718986631526
1723051800,211.04,211.49,208.48,209.87,1739030,275.60362444889745,191.87293750000043,108.14225055110343,216.15883333333343,209.60579166666648,213.89151051025092,217.24117677208662
1723123800,213.11,214,208.83,213.89,2717015,275.8948447897029,191.99743750000044,108.100030210298,216.37883333333343,209.86329166666647,213.8912947230722,217.01006113263236
1723138200,213.91,214.2,211.87,213.35,1444012,276.16535477199136,192.1278541666671,108.09035356134284,216.584888888889,210.0857499999998,213.81396690549047,216.7576431234853
1723210200,212.1,216.54,211.97,216.54,2630476,276.5089910004301,192.26364583333378,108.01830066623742,216.83133333333342,210.33783333333312,214.20340020470613,216.7426332529001
1723224600,216.54,216.78,214.9,216.29,1472757,276.8389514996678,192.4037708333338,107.9685901669998,217.05811111111117,210.58574999999982,214.5014858897481,216.7114171664932
1723469400,216.02,219.51,215.6,217.25,2745435,277.18569854257873,192.54943750000047,107.91317645742217,217.29533333333345,210.83458333333314,214.89413076264123,216.7485608101833
1723483800,217.26,217.65,216.46,217.59,1003225,277.52759894105947,192.70393750000048,107.88027605894148,217.5391111111112,211.06141666666647,215.27925493940677,216.80659109913617
1723555800,219.035,221.8,219.01,221.69,2172649,277.97331745654253,192.87093750000045,107.76855754345836,217.84155555555566,211.32766666666652,216.19507566234867,217.1433779198854
1723570200,221.695,221.89,220.42,221.27,1026298,278.4009764023212,193.0369166666671,107.67285693101303,218.11833333333342,211.5881666666665,216.92006485344172,217.42797254610022
1723642200,220.63,223.03,219.7,221.135,2530059,278.8233827446822,193.19856250000046,107.57374225531875,218.38750000000007,211.84837499999983,217.5221984458072,217.6836296118864
1723656600,221.17,222.35,220.81,221.59,1274852,279.2582481979474,193.35502083333378,107.45179346872015,218.67816666666675,212.1142499999998,218.10331295354902,217.95303446623907
1723728600,224.57,225.35,222.77,224.54,2727005,279.76836808609016,193.52239583333377,107.2764235805774,219.0267222222223,212.40266666666648,219.0228396744706,218.40730795132603
1723743000,224.545,225.33,223.85,224.72,1365151,280.2719387225405,193.69643750000048,107.12093627746049,219.2455000000001,212.6797499999998,219.8367197209748,218.84266602364838
1723815000,223.75,226.82,223.67,226.56,2352225,280.8191136013839,193.8801041666671,106.94109473195032,219.46116666666677,212.97533333333317,220.7971883322641,219.37489595305195
1723829400,226.55,226.67,225.54,226.1,892713,281.33739776849666,194.0681458333338,106.79889389817092,219.56294444444453,213.25649999999982,221.5547328562264,219.83869623215182
1724074200,225.65,225.74,223.04,224.02,2021995,281.79152503270655,194.24681250000046,106.70209996729439,219.68405555555566,213.52016666666648,221.9069138767655,220.1270620092448
1724088600,224.04,225.98,223.8,225.95,1040846,282.28500140602904,194.43797916666713,106.59095692730524,219.82116666666678,213.80833333333314,222.48449760865614,220.5286439396417
1724160600,225.79,227.16,225.46,226.7,1767914,282.8069419529993,194.62160416666714,106.43626638033501,219.96094444444452,214.10608333333315,223.08671223599097,220.95425470242503
1724175000,226.7,227.11,226.21,226.53,726506,283.30506206635573,194.81293750000046,106.32081293364517,220.1251666666668,214.42174999999983,223.57861048799225,221.33878886087848
1724247000,226.51,227.98,225.64,226.01,1879009,283.7864625548278,194.99860416666715,106.21074577850652,220.27505555555564,214.74758333333318,223.9259518468505,221.6609413532317
1724261400,226.01,226.58,225.05,226.36,1027697,284.2632620175723,195.19020833333383,106.11715464909534,220.36983333333342,215.0470833333332,224.27367301158614,221.98501436335366
1724333400,227.76,228.34,224.92,225.65,2366116,284.71671561565256,195.37683333333382,106.03695105101507,220.46916666666678,215.34383333333318,224.47029115278812,222.2377719934672
1724347800,225.63,225.81,223.9,224.54,1473042,285.1178424128008,195.56779166666718,106.01774092053354,220.59016666666676,215.6244166666665,224.48024955953267,222.3965463387453
1724419800,225.71,228.22,224.33,225.96,2560744,285.55649148125644,195.7608333333338,105.96517518541118,220.7191111111112,215.92324999999983,224.69164247959944,222.64230176365942
1724434200,225.97,227.16,225.955,226.81,863146,285.953036364744,195.98125000000047,106.00946363525699,220.91277777777785,216.21499999999983,224.9942649825138,222.92972922823463
1724679000,226.73,227.23,223.89,226.12,1695856,286.33619776282376,196.19391666666715,106.05163557051051,221.09544444444452,216.5131666666665,225.15508427072612,223.1497479021495
1724693400,226.14,227.28,225.45,227.24,987113,286.67943747789263,196.43045833333383,106.18147918877504,221.28622222222228,216.80616666666648,225.4529293749081,223.43183425372538
1724765400,226.17,228.84,224.9,228.49,1954037,287.04173068231717,196.67354166666718,106.3053526510172,221.52377777777787,217.11583333333317,225.8867966070641,223.78067327070985
1724779800,228.51,228.66,227.75,228.18,825710,287.38245074646653,196.9160000000005,106.4495492535345,221.7256666666667,217.42933333333315,226.21439709176923,224.08407511410917
1724851800,227.97,229.86,226.26,227.48,2229878,287.68005834921456,197.1591250000005,106.63819165078645,221.94000000000005,217.72183333333314,226.39519750723076,224.3182768303775
1724866200,227.46,227.64,225.68,226.36,1130458,287.94641364896825,197.3955000000005,106.8445863510328,222.12055555555563,217.9934166666665,226.3901692919121,224.45908532483423
1724938200,230.14,232.91,228.88,232.135,3415241,288.35052448203555,197.65860416666717,106.96668385129877,222.37650000000005,218.31045833333312,227.2108593930675,224.98845875070774
1724952600,232.14,232.5,229.34,229.81,1859664,288.7276827559092,197.89847916666716,107.06927557742513,222.55705555555556,218.60216666666648,227.58216519405786,225.32097883686583
1725024600,230.24,230.4,227.49,228.15,2559330,289.0268388506989,198.13772916666716,107.24861948263545,222.7241666666667,218.8837499999998,227.6632844520496,225.51608374466818
1725039000,228.17,229.85,227.66,228.86,2184186,289.3600053306844,198.37308333333382,107.38616133598326,222.88927777777778,219.1585833333331,227.83424381604252,225.746698658829
1725370200,228.55,229.01,223.27,223.83,2472504,289.5661886576407,198.58579166666715,107.60539467569362,222.99749999999997,219.3913333333331,227.2622089851793,225.614512544427
1725384600,223.82,223.93,221.17,222.77,1861804,289.74480904924167,198.7930000000005,107.84119095075933,223.09661111111112,219.6173333333331,226.62046484443943,225.41833926550098
1725456600,221.7,221.78,217.48,220.1,2831419,289.8634587283045,198.98833333333383,108.11320793836312,223.20205555555552,219.83091666666644,225.68896986666238,225.05155724719057
1725471000,220.13,221.42,220.07,220.73,1371610,289.9600724041446,199.19370833333383,108.42734426252302,223.2406111111111,220.0339999999998,224.98054559999633,224.75351881634984
1725543000,221.59,225.475,221.51,222.39,2260012,290.0787863276252,199.40708333333384,108.73538033904249,223.30349999999999,220.24633333333313,224.6104676571397,224.59051751867054
1725557400,222.38,223.89,221.81,222.4,898286,290.218236688713,199.6130833333338,109.0079299779546,223.33683333333332,220.4710833333331,224.29468656326262,224.43944734496912
1725629400,223.93,225.24,220.47,220.97,2616762,290.32317170039516,199.81258333333383,109.3019949662725,223.34349999999998,220.70274999999978,223.81973133993938,224.2001751142816
1725643800,220.94,221.55,219.78,220.91,1254591,290.38017191979293,200.02179166666716,109.66341141354137,223.33683333333332,220.8350833333331,223.40405543423375,223.97326648571044
1725888600,220.82,221.26,217.05,220.85,2837371,290.4595414304513,200.2230000000005,109.98645856954973,223.28672222222218,220.94924999999978,223.03919037220035,223.75786879704074
1725903000,220.82,221.06,216.71,220.92,2931432,290.57661067729595,200.41266666666715,110.24872265603837,223.22672222222218,220.98241666666644,222.73644889045744,223.56215370758966
